EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6357240.0,11,-370,2000,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6432120.0,18,-377,2000,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6516000.0,25,-384,2000,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6582240.0,2,-391,2000,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6657480.0,9,-398,2000,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6728040.0,16,-405,2000,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6796080.0,23,-412,2000,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6883920.0,30,-419,2000,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,6966000.0,6,-426,2000,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7035840.0,13,-433,2000,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7106400.0,20,-440,2000,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7176960.0,27,-447,2000,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7239240.0,4,-454,2000,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7310160.0,11,-461,2000,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7372440.0,18,-468,2000,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7444800.0,25,-475,2000,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7505640.0,1,-482,2001,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7562520.0,8,-489,2001,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,7619400.0,15,-496,2001,1
